,Year,MSL
899,2001,0.005
900,2001,-0.03
901,2001,-0.016
902,2001,-0.013000000000000001
903,2001,-0.038
904,2001,-0.062
905,2001,-0.067
906,2002,-0.054000000000000006
907,2002,-0.027000000000000003
908,2002,-0.047
909,2002,-0.042
910,2002,-0.048
911,2002,-0.019
912,2002,-0.013999999999999999
913,2002,-0.044000000000000004
914,2002,0.005
915,2002,-0.021
916,2002,0.045
917,2002,0.003
918,2003,-0.004
919,2003,0.071
920,2003,-0.066
921,2003,-0.015
922,2003,-0.022000000000000002
923,2003,-0.005
924,2003,0.01
925,2003,0.006
926,2003,-0.005
927,2003,0.071
928,2003,0.0
929,2003,-0.013000000000000001
930,2004,0.015
931,2004,-0.032
932,2004,0.042
933,2004,0.003
934,2004,0.048
935,2004,0.048
936,2004,-0.01
937,2004,-0.006999999999999999
938,2004,0.062
939,2004,0.046
940,2004,0.026000000000000002
941,2004,0.040999999999999995
942,2005,0.069
943,2005,0.086
944,2005,0.021
945,2005,0.032
946,2005,0.042
947,2005,0.001
948,2005,0.035
949,2005,0.019
950,2005,-0.033
951,2005,-0.005
952,2005,-0.019
953,2005,-0.035
954,2006,-0.066
955,2006,-0.027999999999999997
956,2006,-0.051
957,2006,-0.01
958,2006,0.017
959,2006,0.008
960,2006,0.057999999999999996
961,2006,0.013999999999999999
962,2006,0.022000000000000002
963,2006,0.035
964,2006,0.035
965,2006,0.005
966,2007,-0.002
967,2007,-0.038
968,2007,-0.054000000000000006
969,2007,-0.02
970,2007,-0.027999999999999997
971,2007,-0.018000000000000002
972,2007,0.021
973,2007,0.004
974,2007,-0.021
975,2007,-0.055
976,2007,-0.046
977,2007,-0.046
978,2008,-0.057
979,2008,-0.063
980,2008,-0.106
981,2008,-0.049
982,2008,0.013000000000000001
983,2008,0.062
984,2008,0.07200000000000001
985,2008,0.087
986,2008,0.047
987,2008,0.013000000000000001
988,2008,0.0
989,2008,0.001
990,2009,-0.022000000000000002
991,2009,-0.027999999999999997
992,2009,0.006
993,2009,-0.023
994,2009,0.013999999999999999
995,2009,0.021
996,2009,-0.006999999999999999
997,2009,-0.006999999999999999
998,2009,0.027000000000000003
999,2009,0.07200000000000001
1000,2009,0.026000000000000002
1001,2009,0.079
1002,2010,0.062
1003,2010,0.08
1004,2010,-0.013000000000000001
1005,2010,-0.023
1006,2010,0.002
1007,2010,-0.035
1008,2010,-0.035
1009,2010,-0.043
1010,2010,-0.04
1011,2010,-0.042
1012,2010,-0.015
1013,2011,-0.002
1014,2011,-0.024
1015,2011,-0.023
1016,2011,0.054000000000000006
1017,2011,0.055
1018,2011,0.040999999999999995
1019,2011,0.067
1020,2011,0.017
1021,2011,-0.012
1022,2011,-0.026000000000000002
1023,2011,-0.037000000000000005
1024,2011,-0.023
1025,2012,-0.011000000000000001
1026,2012,-0.003
1027,2012,0.013000000000000001
1028,2012,0.028999999999999998
1029,2012,0.063
1030,2012,0.08900000000000001
1031,2012,0.032
1032,2012,0.085
1033,2012,0.071
1034,2012,0.076
1035,2012,0.028999999999999998
1036,2012,0.03
1037,2013,-0.019
1038,2013,-0.004
1039,2013,0.025
1040,2013,0.044000000000000004
1041,2013,0.034
1042,2013,0.028999999999999998
1043,2013,0.021
1044,2013,-0.006
1045,2013,0.039
1046,2013,0.055
1047,2013,0.043
1048,2013,0.039
1049,2014,0.066
1050,2014,0.021
1051,2014,0.05
1052,2014,0.087
1053,2014,0.113
1054,2014,0.091
1055,2014,0.07200000000000001
1056,2014,0.042
1057,2014,0.121
1058,2014,0.139
1059,2014,0.066
1060,2014,0.109
1061,2015,0.073
1062,2015,0.10099999999999999
1063,2015,0.11
1064,2015,0.09
1065,2015,0.096
1066,2015,0.107
1067,2015,0.127
1068,2015,0.07
1069,2015,0.17600000000000002
1070,2015,0.201
1071,2015,0.171
1072,2015,0.156
1073,2016,0.067
1074,2016,0.09300000000000001
1075,2016,0.087
1076,2016,0.027000000000000003
1077,2016,0.008
1078,2016,0.032
1079,2016,0.028999999999999998
1080,2016,0.031
1081,2016,0.026000000000000002
1082,2016,0.008
1083,2016,0.018000000000000002
1084,2016,0.01
1085,2017,0.02
1086,2017,0.024
1087,2017,0.034
1088,2017,0.011000000000000001
1089,2017,0.026000000000000002
1090,2017,0.045
1091,2017,0.037000000000000005
1092,2017,0.038
1093,2017,0.025
1094,2017,0.036000000000000004
1095,2017,0.01
1096,2017,0.032
1097,2018,0.017
1098,2018,0.04
1099,2018,0.006
1100,2018,0.0
1101,2018,0.016
1102,2018,0.037000000000000005
1103,2018,0.043
1104,2018,0.054000000000000006
1105,2018,0.027999999999999997
1106,2018,0.08199999999999999
1107,2018,0.083
1108,2018,0.05
1109,2019,0.047
1110,2019,0.021
1111,2019,0.033
1112,2019,0.06
1113,2019,0.019
1114,2019,0.031
1115,2019,0.006
1116,2019,-0.008
1117,2019,0.036000000000000004
1118,2019,0.02
